title,isbn_10,isbn_13,amazon_url
¡Vamos! Let's Cross the Bridge (World of ¡Vamos!),358380405,978-0358380405,https://www.amazon.com/%C2%A1Vamos-Lets-Cross-Bridge-World/dp/0358380405/ref=sr_1_67?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140824&s=books&sr=1-67
"Re-Visioning Family Therapy, Third Edition: Addressing Diversity in Clinical Practice",1462531938,978-1462531936,https://www.amazon.com/Re-Visioning-Family-Therapy-Third-Addressing/dp/1462531938/ref=sr_1_70?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140824&s=books&sr=1-70
Spin Me Right Round,1547607106,978-1547607105,https://www.amazon.com/Spin-Right-Round-David-Valdes/dp/1547607106/ref=sr_1_68?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140824&s=books&sr=1-68
Womens Mexicana Latinx Latina Proud - Recipe Journal Notebook,,979-8743419494,https://www.amazon.com/Womens-Mexicana-Latinx-Latina-Proud/dp/B093MHBTXZ/ref=sr_1_72?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140824&s=books&sr=1-72
Cool Salsa: Bilingual Poems on Growing Up Latino in the United States (Spanish Edition),1250016789,978-1250016782,https://www.amazon.com/Cool-Salsa-Bilingual-Growing-Spanish/dp/1250016789/ref=sr_1_73?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140824&s=books&sr=1-73
"Selena, reina de la música tejana",1499811438,978-1499811438,https://www.amazon.com/Selena-reina-m%C3%BAsica-tejana-Silvia/dp/1499811438/ref=sr_1_74?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140824&s=books&sr=1-74
Mamá Goose: Bilingual Lullabies·Nanas (English and Spanish Edition),1368045413,978-1368045414,https://www.amazon.com/Mam%C3%A1-Goose-Lullabies%C2%B7Nanas-Alma-Flor/dp/1368045413/ref=sr_1_78?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140824&s=books&sr=1-78
Rudas: Niño's Horrendous Hermanitas,1250143365,978-1250143365,https://www.amazon.com/Rudas-Horrendous-Hermanitas-Yuyi-Morales/dp/1250143365/ref=sr_1_69?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140824&s=books&sr=1-69
Your Mama,1328631885,978-1328631886,https://www.amazon.com/Your-Mama-NoNieqa-Ramos/dp/1328631885/ref=sr_1_80?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140824&s=books&sr=1-80
Digging for Words: José Alberto Gutiérrez and the Library He Built,1984892630,978-1984892638,https://www.amazon.com/Digging-Words-Alberto-Guti%C3%A9rrez-Library/dp/1984892630/ref=sr_1_71?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140824&s=books&sr=1-71
Sarai and the Meaning of Awesome (Sarai #1) (1),1338236687,978-1338236682,https://www.amazon.com/Sarai-Meaning-Awesome-1/dp/1338236687/ref=sr_1_75?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140824&s=books&sr=1-75
The Distance Between Us: A Memoir,1451661770,978-1451661774,https://www.amazon.com/Distance-Between-Us-Memoir/dp/1451661770/ref=sr_1_76?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140824&s=books&sr=1-76
Little Taco Truck,1524765856,978-1524765859,https://www.amazon.com/Little-Taco-Truck-Tanya-Valentine/dp/1524765856/ref=sr_1_79?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140824&s=books&sr=1-79
The Book of Rosy: A Mother's Story of Separation at the Border,62941925,978-0062941923,https://www.amazon.com/Book-Mothers-Story-Rosayra-Pablo/dp/0062941925/ref=sr_1_77?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140824&s=books&sr=1-77
Hotel Dare,1684152054,978-1684152056,https://www.amazon.com/Hotel-Dare-Terry-Blas/dp/1684152054/ref=sr_1_85?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140834&s=books&sr=1-85
Celebrate Christmas and Three Kings Day with Pablo and Carlitos / Celebrate Christmas and Three Kings Day with Pablo and Carlitos ( Cuentos para ... Para Celebrar / Stories To Celebrate),168292565X,978-1682925652,https://www.amazon.com/Celebrate-Christmas-Carlitos-Cuentos-celebrar/dp/168292565X/ref=sr_1_84?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140834&s=books&sr=1-84
